Semilla,Algoritmo,Tipo de lista,Longitud,Categorías o Proporción desorden,Tiempo
320,pivotear,Aleatoria,100,5,0.0
320,pivotear,Aleatoria,100,15,0.0
320,pivotear,Casi ordenada,100,0.1,0.0
320,pivotear,Casi ordenada,100,0.9,0.001
320,pivotear,Aleatoria,1100,5,0.0
320,pivotear,Aleatoria,1100,15,0.001
320,pivotear,Casi ordenada,1100,0.1,0.002
320,pivotear,Casi ordenada,1100,0.9,0.002
320,dividir_unir,Aleatoria,100,5,0.0
320,dividir_unir,Aleatoria,100,15,0.001
320,dividir_unir,Casi ordenada,100,0.1,0.0
320,dividir_unir,Casi ordenada,100,0.9,0.0
320,dividir_unir,Aleatoria,1100,5,0.002
320,dividir_unir,Aleatoria,1100,15,0.002
320,dividir_unir,Casi ordenada,1100,0.1,0.002
320,dividir_unir,Casi ordenada,1100,0.9,0.003
320,ordenar_cimas,Aleatoria,100,5,0.001
320,ordenar_cimas,Aleatoria,100,15,0.001
320,ordenar_cimas,Casi ordenada,100,0.1,0.001
320,ordenar_cimas,Casi ordenada,100,0.9,0.001
320,ordenar_cimas,Aleatoria,1100,5,0.0871
320,ordenar_cimas,Aleatoria,1100,15,0.0891
320,ordenar_cimas,Casi ordenada,1100,0.1,0.0901
320,ordenar_cimas,Casi ordenada,1100,0.9,0.0911
